day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,bid_price,ask_price,transportFees,exportTariff,importTariff,sunlight,humidity
1,0,ORCHIDS,1094,10,1093.0,3.0,1086.0,41.0,1102,10,1104.0,3.0,1111.0,41.0,1098.0,0.0,1097.5,1099.0,0.9,10.5,-5.0,2100.0,70.0
1,100,ORCHIDS,1094,6,1093.0,2.0,1087.0,51.0,1102,6,1103.0,2.0,1110.0,51.0,1098.0,0.0,1097.5,1099.0,0.9,9.5,-5.0,2099.757,70.02271
1,200,ORCHIDS,1093,6,1092.0,3.0,1085.0,49.0,1101,6,1102.0,3.0,1108.0,49.0,1097.0,0.0,1096.0,1097.5,0.9,9.5,-5.0,2099.5132,70.045395
1,300,ORCHIDS,1093,10,1092.0,4.0,1085.0,52.0,1101,10,1102.0,4.0,1109.0,52.0,1097.0,0.0,1096.0,1098.0,0.9,9.5,-5.0,2099.2683,70.06803
1,400,ORCHIDS,1093,10,1092.0,3.0,1086.0,51.0,1101,10,1102.0,3.0,1109.0,51.0,1097.0,0.0,1096.5,1098.0,0.9,9.5,-5.0,2099.0225,70.09064
1,500,ORCHIDS,1094,5,1093.0,4.0,1086.0,41.0,1102,5,1103.0,4.0,1109.0,41.0,1098.0,0.0,1097.0,1098.5,0.9,9.5,-5.0,2098.7756,70.1132
1,600,ORCHIDS,1093,10,1092.0,3.0,1086.0,49.0,1101,10,1102.0,3.0,1109.0,49.0,1097.0,0.0,1096.5,1098.0,0.9,9.5,-5.0,2098.528,70.13572
1,700,ORCHIDS,1093,6,1092.0,5.0,1086.0,41.0,1101,6,1102.0,5.0,1109.0,41.0,1097.0,0.0,1096.5,1098.0,0.9,9.5,-5.0,2098.2795,70.15821
1,800,ORCHIDS,1093,10,1092.0,3.0,1085.0,47.0,1101,10,1102.0,3.0,1108.0,47.0,1097.0,0.0,1096.0,1097.5,0.9,9.5,-5.0,2098.03,70.18066
1,900,ORCHIDS,1093,10,1092.0,5.0,1086.0,45.0,1101,10,1102.0,5.0,1109.0,45.0,1097.0,0.0,1096.5,1098.0,0.9,9.5,-5.0,2097.7795,70.20307
1,1000,ORCHIDS,1094,8,1092.0,3.0,1086.0,54.0,1101,8,1103.0,3.0,1109.0,54.0,1097.5,0.0,1096.5,1098.5,0.9,9.5,-5.0,2097.528,70.22544
1,1100,ORCHIDS,1092,10,1091.0,3.0,1085.0,57.0,1100,10,1101.0,3.0,1108.0,57.0,1096.0,0.0,1095.5,1097.0,0.9,9.5,-5.0,2097.276,70.24778
1,1200,ORCHIDS,1094,9,1093.0,5.0,1087.0,49.0,1102,9,1103.0,5.0,1110.0,49.0,1098.0,0.0,1097.5,1099.0,0.9,9.5,-5.0,2097.0225,70.27007
1,1300,ORCHIDS,1094,6,1093.0,4.0,1086.0,39.0,1102,6,1103.0,4.0,1109.0,39.0,1098.0,0.0,1097.0,1098.5,0.9,9.5,-5.0,2096.7683,70.292336
1,1400,ORCHIDS,1095,5,1094.0,4.0,1087.0,45.0,1103,5,1104.0,4.0,1110.0,45.0,1099.0,0.0,1098.0,1099.5,0.9,9.5,-5.0,2096.5132,70.31456
1,1500,ORCHIDS,1094,9,1093.0,2.0,1086.0,54.0,1102,9,1103.0,2.0,1109.0,54.0,1098.0,0.0,1097.0,1098.5,0.9,9.5,-5.0,2096.2573,70.33675
1,1600,ORCHIDS,1094,7,1093.0,2.0,1087.0,42.0,1102,7,1103.0,2.0,1110.0,42.0,1098.0,0.0,1097.5,1099.0,0.9,9.5,-5.0,2096.0005,70.358894
1,1700,ORCHIDS,1095,8,1094.0,4.0,1087.0,50.0,1103,8,1104.0,4.0,1110.0,50.0,1099.0,0.0,1098.0,1099.5,0.9,9.5,-5.0,2095.7424,70.381004
1,1800,ORCHIDS,1095,6,1094.0,4.0,1087.0,49.0,1103,6,1104.0,4.0,1110.0,49.0,1099.0,0.0,1098.0,1099.5,0.9,9.5,-5.0,2095.484,70.403076
1,1900,ORCHIDS,1097,5,1096.0,4.0,1089.0,40.0,1105,5,1106.0,4.0,1112.0,40.0,1101.0,0.0,1100.0,1101.5,0.9,9.5,-5.0,2095.224,70.42511
1,2000,ORCHIDS,1097,8,1096.0,2.0,1089.0,41.0,1105,8,1106.0,2.0,1112.0,41.0,1101.0,0.0,1100.0,1101.5,0.9,9.5,-5.0,2094.9636,70.44711
1,2100,ORCHIDS,1097,7,1096.0,3.0,1089.0,48.0,1105,7,1106.0,3.0,1112.0,48.0,1101.0,0.0,1100.0,1101.5,0.9,9.5,-5.0,2094.7021,70.46907
1,2200,ORCHIDS,1098,7,1097.0,2.0,1090.0,48.0,1106,7,1107.0,2.0,1113.0,48.0,1102.0,0.0,1101.0,1102.5,0.9,9.5,-5.0,2094.4397,70.491
1,2300,ORCHIDS,1099,9,1098.0,4.0,1091.0,47.0,1107,9,1108.0,4.0,1114.0,47.0,1103.0,0.0,1102.0,1103.5,0.9,9.5,-5.0,2094.1765,70.512886
1,2400,ORCHIDS,1099,10,1098.0,3.0,1091.0,51.0,1107,10,1108.0,3.0,1114.0,51.0,1103.0,0.0,1102.0,1103.5,0.9,9.5,-5.0,2093.9124,70.53474
1,2500,ORCHIDS,1096,10,1095.0,3.0,1089.0,48.0,1104,10,1105.0,3.0,1112.0,48.0,1100.0,0.0,1099.5,1101.0,0.9,9.5,-5.0,2093.6472,70.55655
1,2600,ORCHIDS,1094,6,1093.0,5.0,1087.0,36.0,1102,6,1103.0,5.0,1110.0,36.0,1098.0,0.0,1097.5,1099.0,0.9,9.5,-5.0,2093.381,70.57833
1,2700,ORCHIDS,1095,8,1094.0,3.0,1087.0,48.0,1103,8,1104.0,3.0,1110.0,48.0,1099.0,0.0,1098.0,1099.5,0.9,9.5,-5.0,2093.1143,70.60007
1,2800,ORCHIDS,1096,8,1095.0,5.0,1088.0,42.0,1104,8,1105.0,5.0,1111.0,42.0,1100.0,0.0,1099.0,1100.5,0.9,9.5,-5.0,2092.8464,70.62177
1,2900,ORCHIDS,1098,10,1097.0,4.0,1090.0,47.0,1106,10,1107.0,4.0,1113.0,47.0,1102.0,0.0,1101.0,1102.5,0.9,9.5,-5.0,2092.578,70.64344
1,3000,ORCHIDS,1098,10,1097.0,5.0,1091.0,48.0,1106,10,1107.0,5.0,1114.0,48.0,1102.0,0.0,1101.5,1103.0,0.9,9.5,-5.0,2092.3083,70.66508
1,3100,ORCHIDS,1100,5,1099.0,3.0,1093.0,48.0,1108,5,1109.0,3.0,1116.0,48.0,1104.0,0.0,1103.5,1105.0,0.9,9.5,-5.0,2092.0378,70.68667
1,3200,ORCHIDS,1099,6,1098.0,5.0,1091.0,46.0,1107,6,1108.0,5.0,1114.0,46.0,1103.0,0.0,1102.0,1103.5,0.9,9.5,-5.0,2091.7666,70.70823
1,3300,ORCHIDS,1098,6,1097.0,3.0,1091.0,44.0,1106,6,1107.0,3.0,1114.0,44.0,1102.0,0.0,1101.5,1103.0,0.9,9.5,-5.0,2091.4944,70.72975
1,3400,ORCHIDS,1098,6,1097.0,2.0,1091.0,50.0,1106,6,1107.0,2.0,1114.0,50.0,1102.0,0.0,1101.5,1103.0,0.9,9.5,-5.0,2091.2212,70.75124
1,3500,ORCHIDS,1098,6,1097.0,3.0,1090.0,41.0,1106,6,1107.0,3.0,1114.0,41.0,1102.0,0.0,1101.0,1103.0,0.9,9.5,-5.0,2090.9473,70.77269
1,3600,ORCHIDS,1098,8,1097.0,5.0,1090.0,53.0,1106,8,1107.0,5.0,1113.0,53.0,1102.0,0.0,1101.0,1102.5,0.9,9.5,-5.0,2090.6724,70.794106
1,3700,ORCHIDS,1097,5,1096.0,3.0,1090.0,45.0,1105,5,1106.0,3.0,1113.0,45.0,1101.0,0.0,1100.5,1102.0,0.9,9.5,-5.0,2090.3967,70.81548
1,3800,ORCHIDS,1098,10,1097.0,5.0,1091.0,50.0,1106,10,1107.0,5.0,1114.0,50.0,1102.0,0.0,1101.5,1103.0,0.9,9.5,-5.0,2090.12,70.83683
1,3900,ORCHIDS,1098,8,1097.0,3.0,1091.0,45.0,1106,8,1107.0,3.0,1114.0,45.0,1102.0,0.0,1101.5,1103.0,0.9,9.5,-5.0,2089.8425,70.85814
1,4000,ORCHIDS,1099,10,1098.0,4.0,1092.0,56.0,1107,10,1108.0,4.0,1115.0,56.0,1103.0,0.0,1102.5,1104.0,0.9,9.5,-5.0,2089.5642,70.87941
