,timestamp,STARFRUIT,ROSES,STRAWBERRIES,STARFRUIT_returns_from_500_its_ago,STRAWBERRIES_returns_from_500_its_ago,ROSES_returns_in_500_its,ROSES_pred_returns_in_500_its,roses_signal,last_roses_signal,roses_target_position,roses_target_position_change,cash,cumulative_cash,position_mark,pnl
500,50000,5040.5,14813.5,3993.0,0.00019843238416509574,-0.00175,-0.0018901677523880244,0.00024804048020636967,CLEAR,CLEAR,0.0,0.0,-0.0,-0.0,0.0,0.0
501,50100,5040.5,14812.5,3992.5,0.00019843238416509574,-0.0017502187773471684,-0.0017552742616033755,0.00024804048020636967,CLEAR,CLEAR,0.0,0.0,-0.0,-0.0,0.0,0.0
502,50200,5039.5,14808.5,3992.5,-9.92063492063492e-05,-0.0017502187773471684,-0.0014181044670290711,-0.0001240079365079365,CLEAR,CLEAR,0.0,0.0,-0.0,-0.0,0.0,0.0
503,50300,5039.5,14806.0,3992.5,-0.00019839301656581688,-0.0017502187773471684,-0.0013170336350128327,-0.0002479912707072711,CLEAR,CLEAR,0.0,0.0,-0.0,-0.0,0.0,0.0
504,50400,5039.5,14809.5,3992.5,-0.00019839301656581688,-0.0017502187773471684,-0.0011816739255207805,-0.0002479912707072711,CLEAR,CLEAR,0.0,0.0,-0.0,-0.0,0.0,0.0
505,50500,5039.5,14812.0,3992.0,-0.00019839301656581688,-0.0018752344043005376,-0.0012827437213070484,-0.0002479912707072711,CLEAR,CLEAR,0.0,0.0,-0.0,-0.0,0.0,0.0
506,50600,5039.5,14811.0,3991.5,-0.00019839301656581688,-0.002000250031253907,-0.0008777260144487205,-0.0002479912707072711,CLEAR,CLEAR,0.0,0.0,-0.0,-0.0,0.0,0.0
507,50700,5039.5,14808.5,3991.5,0.0,-0.002000250031253907,-0.0005402302731539318,0.0,CLEAR,CLEAR,0.0,0.0,-0.0,-0.0,0.0,0.0
508,50800,5039.5,14803.0,3991.0,0.0,-0.002125265658207276,-0.00030399243396608794,0.0,CLEAR,CLEAR,0.0,0.0,-0.0,-0.0,0.0,0.0
509,50900,5039.5,14802.0,3990.5,0.0,-0.002250281285160645,-0.0003040129712201054,0.0,CLEAR,CLEAR,0.0,0.0,-0.0,-0.0,0.0,0.0
