timestamp,ORCHIDS,GIFT_BASKET,GIFT_BASKET_returns_from_500_its_ago,ORCHIDS_returns_in_500_its,ORCHIDS_pred_returns_in_500_its,orchids_signal,last_orchids_signal,orchids_target_position,orchids_target_position_change,cash,position_mark,pnl,cumulative_cash
50000,1086.25,71118.5,5.624731946368181e-05,-0.015650172612197928,-0.000297643940405965,CLEAR,CLEAR,0.0,,,0.0,,
50100,1086.75,71123.5,0.00013358832297437917,-0.015873015873015872,-0.0007069093286835222,,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
50200,1087.25,71132.0,0.0002320169302050889,-0.017475281673948035,-0.001227763989566269,,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
50300,1088.75,71137.5,0.0001968407066581369,-0.020206659012629163,-0.001041621967422863,,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
50400,1087.25,71129.5,-4.2174814606544125e-05,-0.019084847091285353,0.00022317646645344952,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
50500,1085.75,71127.5,-0.0001686826587198392,-0.016117890858853328,0.000892618025147773,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
50600,1085.5,71125.5,-0.00023895702287662085,-0.0163519115614924,0.0012644888779562145,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
50700,1085.25,71131.0,-0.00014759317697827568,-0.016355678415111725,0.0007810188146159414,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
50800,1086.75,71138.5,-8.433540189332977e-05,-0.016563146997929608,0.0004462776461989331,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
50900,1086.5,71128.5,-0.0002951531634094407,-0.01771744132535665,0.0015618619948137371,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
51000,1085.75,71131.5,-0.00020380625755488715,-0.01565737969145752,0.0010784815731031963,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
51100,1084.75,71130.5,-0.000302170002248707,-0.014749942383037565,0.0015989930008994827,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
51200,1084.5,71126.0,-0.00017571357281921885,-0.01636698939603504,0.0009298235132874603,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
51300,1085.25,71123.5,-0.00021085628738306262,-0.01612531674729325,0.0011157882159449524,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
51400,1086.25,71136.0,-0.00013352917612498332,-0.016800920598388953,0.0007065963413005742,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
51500,1086.5,71138.5,0.00015465185757969842,-0.016336861481822364,-0.0008183712347544901,,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
51600,1087.25,71149.5,0.00019680750117733058,-0.01563577833984824,-0.0010414462539800801,,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
51700,1088.25,71133.5,-9.839683443326937e-05,-0.01677004364805881,0.0005206865287705315,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
51800,1088.25,71131.5,-0.00014056493045550066,-0.01677004364805881,0.0007438274424913727,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
51900,1088.25,71134.5,-0.0001686660622799435,-0.01677004364805881,0.000892530201766777,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
52000,1087.25,71141.5,-8.433184581327524e-05,-0.015175902506323292,0.0004462588284901086,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
52100,1087.0,71132.5,-0.0001967770726599341,-0.014949402023919043,0.001041285235394573,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
52200,1087.0,71123.5,-0.00026706961380328217,-0.013569457221711132,0.001413252275362828,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
52300,1086.25,71128.5,-0.00012651555086979442,-0.011967779056386652,0.000669482340537691,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
52400,1087.25,71123.5,-0.000519951377519832,-0.011956771671648655,0.0027514267044216945,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
52500,1087.5,71106.5,-0.0007588479563802953,-0.011264367816091954,0.004015595730777608,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
52600,1088.75,71114.5,-0.0006323821836859449,-0.013318025258323766,0.0033463768014109145,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
52700,1088.75,71126.0,-0.000583131345066217,-0.011481056257175661,0.0030857561386869003,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
52800,1089.25,71128.0,-0.0005269407226816365,-0.011016754647693368,0.0027884122222144154,CLEAR,CLEAR,0.0,0.0,-0.0,0.0,0.0,0.0
